Account,Token Account,Quantity,Percentage
6LjongfJQG8ukBxu2aiY9uYAmBdBawL6rMNGpxHij8nU,5buzqNnSfi2zJMouozJdDqMNKoxfDdW4fLD31FvDBd4q,1536715.09,0.15
E5Vjzgr63d69LfytVs3BwGjHHPM2qykA3KiUxm3F99Uf,9Tq7GTSqUvTErKWHyNZUy6yvZS5JYSqQKw1sUNg9agYL,1535453.09,0.15
BUMoLuKmk6dTLWtj8nrrJXnduA21bigDVq2qGmjXzDt,CUPHgS9JgaHAkZp9KBQoMRowBKySNfZpgGym5XLtp9o8,1501746.85,0.15
CHnawtiwvAQqyxTmtMmYr5Qydy12eh1B4MjcU5v1JKbC,G1EckRPx9VaHZw4dv7LyfCdzYvzpJJXSsw61LbVYPujw,1497198.57,0.15
F5YvNvErZKFhAq4og4QCguvMhzF1bgGVDPNHS189XK1h,AeCzjX2yRadzSKL2pqLoBUdb4gK7SYsjsj97yb8kqULx,1474566.68,0.15
4sSYsfmcfqsHjypVSx12cmJwJu3MCs1NNzKJrvdWmZwG,8Ru2eGkKd19xzzSaTRTwxQgTwXWmYXF9Smn1zFhSuDLi,1461535.89,0.15
4p9VRBpktcnxERSMytjSKaRdxYxngBS9MyEjihYFYLE1,8Sv7hbkHGzzSg92jHy1cfJwZyAMPBkPCmnRebFjHVyZS,1414753.21,0.14
EEMUMn2miTiren7smBd1Xu9pV7EwruqZHquSMn7cBZw7,9Sgj4iJTuBvbECetBYA6FkSdQcQBYe8QXmUF1XNHiAoJ,1412081.87,0.14
GCor9uW6uHfejryvZTeeRmQUXStsADCDiJz2Bk5FpR94,ABmzNEx3CzdnfrKUTpWoqEt6AhZ6zFKKz7Y4mKMThqSe,1408175.07,0.14
FKUQsYwN4b9rR6paUpNFZX3RvaRgKsE8mPThPGuRhYSR,5224FxHKnLwVTbX9ZVLp4kTrVrwWTdL8BaZj4saPtLzH,1400980.88,0.14
7jcGSrE9H7fFCgJ4mqH9i1DtbYugYZpL5eqwKAwvUtnF,8HtdekL4ovbbcnzvy5ASwZsuwCGxuZxM3zjjarvA24hk,1391052.19,0.14
8zjtwnd8rGwbvv1mEbVW1jYTyH36jHmmUUTf9yHo3BbT,J8FpuVM1WEP86jYmbfMXu3CxY3XBc5yNS2v9J1iDEDCT,1387131.33,0.14
7xmYJv5b6ALshrgUEiZVFDN6g2uwKB3cxbrZTdJbgqeW,3oLXnLJe8Mz5q6P3bpDatHtwMQH2Byk7HrEQpxZs44z2,1359841.71,0.14
7HzAEARwFZj7tVNcDyYTUr5LK27aotgGTpzDKEnYKKAz,EMMRNtB2XZqHr4P4ZEG2jkLKKDgqRBt2Tz36RQAPqcwK,1343985.13,0.13
7ZnGjwn3oxoVerf43p6ax9e5492q14mxj6jMi2mpedrC,CfVHQY9ELUbxJxESoRBmNqcXig2P6Ad3KNtoknhqs2pB,1334715.93,0.13
7TwCAjeCkyrVmL9khDEj8oMnJpqxgNzZxgXitojufEXK,EFsbgocgAVZe8NkEB4X3paFfsE33ggCqXhB9dfro6qyQ,1330716.46,0.13
Lmha5YdJMSXCjXPaKMbZHrdVFXp7i9DvMdXaVssVq47,Dxc4szNAGLzwerSTsTjD8nxRhV58S6eGkzBwYHJ57afN,1322693.15,0.13
29buu4TT5x32XzLtrkYRdj92WR8tk6aqoFTiKZcKW4mw,H3z7WhPqnfZJv8Ch9vesXmFooTLX52YK19kffie5KiLZ,1319691.10,0.13
EVDaLoPSCQ3yHfgWzyHkbYo1C53pxYnTxEWV9qttpdPN,3cNrkmZdkAgUaxxfitGVzFW192eU871Ersz9spa6pka7,1306475.66,0.13
HkK32PQevG8XDgGnEgAPLSpdwezWGkhpCiBfDrtRmU7G,9QhrPoWHfBr2kRWztEhPCcaTk2e1dva4f25hQHePDoRD,1301476.19,0.13
GxKya2u3C7USwgpRcF3xsdF6McywxpGnekd8JtaMaYcB,DdhXm8GN7Zgjvk3q2LaGydehQg24oUxVeCBbkij8TAio,1291067.33,0.13
EQmfV2jxos8GYeAGjboFYujsSQJEYbsg2AjdYCCsFqvL,E7wcTKaLT76AMws6zdri9q5vpRbp1k2wKQauit6TyAJe,1281063.60,0.13
GA6FHU6tddogP52Cttwems2KSm7rwTSePH59rk55jcfU,DNeBhUoxntPbQzohVhfXZuNcueKTYMCVawUbjir1Sxxj,1255097.66,0.13
37gkZS2bGbXN6TQQ96EHkAccBKtLgxBeUFYrcN5xhowD,7JwFdsPakBeiYnWV7cW7KWaLoaNum4afK5Gu6T9JggKo,1250814.21,0.13
kVJbejBHQvWqJBuTxZ3MG5obKM3Sn6oFYELewayaDiE,AL9BzR8wB45AaweJTjVn8pPp3ofDuWWoc3J3k8XmYQT2,1249249.78,0.12
44U56DK1RGDrLi3Nztu2o5B52dE1YbLDcDaqdZoAncps,37xZdYsFMd4C5yRGvq5mmbxk2QtZ6BJifU889S94Q1W6,1248457.59,0.12
