Account,Token Account,Quantity,Percentage
6qgBGeZgPyxdobeHhcNtAqVe927zodpiuoufhwGN8BhP,9QFpyDUiiz6rYhQtwq1F6wyRBm31q6xXETFNy2chn8zX,151026.33,0.02
HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,3mi4iXaXj8WwhNfsgQYZRQoZWrLMD1rcjRR1cowiVKWV,150000.00,0.02
AeBwztwXScyNNuQCEdhS54wttRQrw3Nj1UtqddzB4C7b,4JdxzJDsPZpgX1X1d3Vq4cGFHw34dcG8jAgsWu1NrMBy,146605.98,0.01
BXmoWs8vzxDKnisnoSiiMRQgk2WECz8xdnRsxFXuJ7LD,E6zQ36aywSXjJv6aQy2NYCryr3sGhdjbQXpKSuqcCSDv,146366.22,0.01
5nfpsKkmELsYfDMiKAeEsyT1wB92w6WqPiEfWXtcdMKJ,EoV1zvZdShniuR3DKwS1S6P8C7pzvnJnxSNehCz4KoUh,142422.00,0.01
AwiguNn4m6Z3qeeXoiF2cMcAEqs4nu7zBU611E3iTsmH,D9hGh1MoEvQhJfmn8QAKtJzRnXpUTjxex4uB41qiPxdN,140728.12,0.01
2geJdkyRANJn1msChUsWSPduqgdR8T348EX88a3m49Aj,2knfpH6gMqbALQ4NJavHrcGw2UBToCQK8HTE7VMhSwrF,138651.39,0.01
FWSucCcmucJCnUP4cZfT5gNfFKmV9JsHLJMWWcuAbRYz,BQ7dMkU2xpZxhqfq2kCMCmUFYbLX2Y6VX73dWo5revuJ,136464.25,0.01
AsWDhh9HgwTthMrG7eYAnEWW49htYv1ZECVfBRGfx2Tg,4Xb4HHRtr7qdWur6LT4fGSVREh9vFfPWX2MuvcETjrkz,134812.61,0.01
HBxZShcE86UMmF93KUM8eWJKqeEXi5cqWCLYLMMhqMYm,FngfjcaGGmuw8spuCxXHJgLmFQ9CZWUQ771mp8JjT9ZC,130789.35,0.01
2SJZB9n8cR7R8mZQbN1WdLEZVf67uBD14dChLBdhjyC6,82Ee2VkAe9rKX7f6pKuB71wF6g6qdVEg2yKNvnCAAj3C,128702.24,0.01
2Sup3A3JwJojerrE68eQhiXWEK55wUzhgsBmzdaSCxqM,BEwArsMYUocCBxC9hwNVuPLHUBuUkYoZWNP7UKNGaMWc,127954.24,0.01
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,9WBPUC6oJ5KSY2K55Ej7R48NNSCZFhNwEsG2R2GqESKZ,124059.41,0.01
ATnR76TZSQ4Fk8MQLtz5pydWpBsZ6z5pWwAodw47Byzg,HreuskzfvgUGFnZfQGa85CWCVGuhpyG2QxkhuKX5qhM4,123382.94,0.01
CQWxRn2iW5qSxfBaEDaZSym4ZhVjpeXsgSDvw9PehnLj,14cCqcntHAvtk7PBQymL1kM5LxyBTRcqKF9gbPcnhAbt,121094.46,0.01
8dQH1VxZnD6N8iigY5EsjXbFyoETppzFEmVUfS7XKhMp,5XAtfsM4zEWBA54Dk1pyVJaHDvnE67sG6EacY4xC4BYH,120855.23,0.01
473A6X1cahivjY4tf48oXEd5dKUakvhoCaUcmWNHYNFG,F58x3qHLQPQx5aRQQSShQeAL3utLYhmijAt6UQ4s8SJZ,120400.71,0.01
HUnSUT98wPZ1FahGAe83Zw4hRmNPupfJsfDfTYtZxjvj,FPXnZkEabSGpfuPHxd9Pxf2y1aXcNDrRv3L1nzcX4Qmv,120000.00,0.01
CtZaTMRiCuDZhRLeeT7Cc4vRjmB6CXmsxiQhCMJMM5UW,DwZZhcETTzbhYYC394fXnZzwwkEmRxMnnkby9EzZivgQ,119879.57,0.01
HqqzZC5qsNKtZBrBsYvbXhzxUQaADSzkDaifHWe1GvEH,25VcUcU3wefjBmqYtkLhAEvNXdLMfrrGA1EGbY7sRPct,117880.35,0.01
9z2kq1ehXaA9ecpnksSZxvRpS85jUm9bth3hHmbmXeqW,ebTyaooycV4exFbSRXaWQifRpkDxe3c98Xz4rmUiivn,116471.37,0.01
E7rxAmmgDTkfqAGHwgHgtp4HYB3hCLP1joBbsQp82LCs,14KwAk3YN3YBea6KPiefcDFidXSvqa4DgeYkcFrttauq,115588.82,0.01
H2ikJvq8or5MyjvFowD7CDY6fG3Sc2yi4mxTnfovXy3K,FmVMnB1FY2oPQTpr3biB4b4rj5ikcK3uCXQbUonps4PR,115304.35,0.01
GTvUpe22HG1qr8ougkMZS9aaBA96c2abxXeg2nHodLnU,P1UW7u735mojtRPemNhhC3yTAUm4HxDMykwjoxSHULQ,115265.24,0.01
2TjQwSmBrqUJPTnDuFvxPxggsusEtotHkhNjt4RSiZie,2ggJyTMFo7sN9HFnFP6qAJTdfSRPf8R9u9WUk4rPWUJP,113885.55,0.01
6nD6d8gG17wakW6Wu5URktBZQp3uxp5orgPa576QXigJ,7rXsNqBkFoiNPJYxhZHu9EGUMsY4j4tA2DhefvNbzQzs,113010.70,0.01
G3K9kWBDUmtnxypFZSzZDdMS9d8GWnZUrbsvobSJkwVG,EkxTWUsdK8BgGQZFszBvHr3J1Rx7GGrknSgHMRKWpbUy,112074.65,0.01
AAcuG2T3uwKm3JMiCR2EtvuBgwKXgSBJfD4bus4hGhGt,FXnJcBkwnFtxcgLfRwDuiyDGpZSxFXUFrkrR6dCpCriJ,110000.00,0.01
FbBba8W8EgHVkiQHKr5WFL689uohUdQcH5UZA3FasiK8,AC18w5GMbi8Pib76WL7rY6PJku4qKv7rR4bfTd6HhcPe,107275.73,0.01
2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,5EkTFQQSKmkixzVZBBBNWuh7tBNZejEJ9NAw1h8EFS3R,106473.75,0.01
3A4VAa7o8gb2QQ672C8r2L9VJGs1P6sL4xTnHm3A4sKy,3wvsUWyhmrvk3KsqRcb6isdqy9bC5vcmDWzskVFJE6m1,105086.50,0.01
DMSXWQEYrjgM2785GLPzSZoRscRRXwaFW2MDvUX5BdAw,2wURmcDixjEq92hHKC8qZTQLRr5r3vLsV7vWxQMSKNfm,102224.24,0.01
BmTiT4n1eMq1SD5eCAUmLw2vb24Phip3dSpXtoqdxMi7,8n9zrPF2GNrbcNiCtKU62pZ72UMvQ8nrqsYKpz5sc5bg,101112.76,0.01
8EJJEXn5gM5EU7KBRYNYoE9UAnnwnfqBdfQJ9gbcA44k,9wKKjtLzREV9m1XsSD161fFTgyAarsBh5VuqKR4LmKP9,100183.21,0.01
6jEM9FtSZzBB9MepmfaNG2SSq2ov2sUSdGjiSap8GDpn,AUUcEMpq1VS11oRQYiL8ALYPP4zZ9FE7SSYTCD3HGuaT,100000.65,0.01
3XyN13ED1k8RoY1b8bum78YLEtdcckEgC15TQnaoxVwc,5ewxA7q6UcgWrTLnvMpiVn3uja6do1vzukcdiRUcLUmQ,100000.00,0.01
32TDC1xYRjMCvdPFTs36QSpgk4Ab7fGeAyYdaH49UoVA,32dcbP37u44PHBejSHhFWnt7jxUE4mxTDBdDQXP4FCt5,100000.00,0.01
8FHzFsVwP4RaPDzzhsuVrHbrH8fS4qyZGw9q5UpsyFeV,6UC1G1tcYY5kTsBWvwt3trx7ccar4gHYAoHbiqkAZ5sx,99915.10,0.01
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,GnCE2iUtrvjbJLHMv63xUoohHe1rGjtBprwQHc76dDCa,99512.61,0.01
CLegS2MSiCsBksVazCg4Y7Gz3NqeBK21QyvzK4Q7S168,CyoU9VZ3BnuhALKhiHDhM6DBMXMbC8XJCu8R464iY7ER,99495.00,0.01
7KxBq2D862Ab7E1daJGQasNnqqgwXbqrnMNmwYmg5rWY,HSQwrFBRC2c75RY2g5hgcwx5AzYphXCAjRtCVETmGGRM,98316.32,0.01
H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,3TgS2iR9qLF3mZ4fzeqqLFP62y7rUofRWqpbYvyzq4T7,98068.53,0.01
D4Eq1vNArsoUMMUTpXKg3Cbn54pZ3bq9wXbPEc8e7gNv,7GKESLndpP8ndAjPQHRsrTqQ968xfg3GisZxqtYt5SgT,96561.18,0.01
A4YjicimutQgB4LMYxcGiW4em21CNepe2C2yu9HJUEs2,EmmS99yShJzcrZEVyzDp2oToevxYhBaiAZB9DcmSx3tw,95000.62,0.01
BEPbawYXnS5SEDyWFnUDvojkxpUK88rTvdwCkBqSknyr,HdnpQX3gaGrQdpUP7QSXS6rJz7SA2BpPRxBxgU7f5rca,94040.20,0.01
6Ge32v1gWV4KR8tGiEBPHqd2y3pDs7xMtm7YMrW3gMrw,CdzVXLbcjzifhcdTm6EWMDYTXvdmCX8Fg1aQzEgm7Y68,94011.44,0.01
AxhU7CJ9Ka7XWh1VABR3fmcF3AFkn8e4vY9QkzZGPA5x,8US4zdVa1yvoEUKSb2TBDfqeg7noTfSRa7qXHdmVGYfn,93599.33,0.01
2vzzUAvPMu4FCxg2eVRd8jk1SkSL2vMmBTjFCJqeWaU9,82Q2JJZLv9kuYRbNt12DjvcE745y4rZt3WP5mttEMyca,93537.45,0.01
DHSV26zaEAHAc5qwUgv4T99RnatKzBHrXn1sWUamTACf,EZDbXujFpTgw2popyM3KT8U5H8Y3GiJAy6Byh5oXEkcz,93472.72,0.01
6AH3UpFjFuoi75iaKETRAt5DHfJoBSTLuaFNZcESiSny,JBd8z6t44WxPRM8LT2KQCmFgmuDvh3UYmVZRTiL8NfEQ,93252.58,0.01
5BCgqYg51CANe8qUMPYWJsqRA4Y8HnyfmvkoJxcEmQfY,8URtowFG3yse383nFdmWRDXbxcCxLsM8SMKVHPH11bGs,92786.00,0.01
6o9mQ6HL2xC7Naht6rTg1XHpgk766dtTCU3Ze7vHZdoX,Cs9HQBLUCToNtap3MNpBKnERcdQSjxujkKHySDS9jX3o,88606.06,0.01
65FwXvcXEb677aNSisdG82ezhBnbY4vwfBKB8vBYT4HE,6kweCHewTWWWgMD1N6ZtQuPD9CJScLarWjw2fHu4hQ7g,87704.74,0.01
FW9QZKH69ZH4cFxvQdE2UnDDDcpRdRh6KQEw3rZZ1YfD,7KVfdZdJgFHmBSFvhg73Ew6pTGbihAayWpYasxEwihDF,86984.62,0.01
GwtrEuMezzM6eid1qgaUyqKn6Fbs5kY6J4HTEbwAY5Td,5uMeycqt55DDnxwgm6Rmowc9mEvTthHRt4GHZWhtMY64,85869.19,0.01
nQ1qHfmxjk1e9JQtn2tQFnfH295Go6e98LCCQFZ1sHd,HVEJasbW1qXYC9ikE1juSGmorkrRnszZYu6T5dXD8dKX,85651.88,0.01
9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,AK93dERw7MJsGFBUPfV1bkXzDviJZM1K6vg2yGDugk7L,85540.39,0.01
Ej7hLErAJhrFmcCejqsMQF7tNYsMj4QVQvaHWLJZ1a79,3iaje1gHEhwdxzURu6uS7jC2o2nYc8RUmi9L89QNvB64,84706.84,0.01
36oatCwcZHBpqjwqPgaqdwWNMXDhfmv6RLaKEDmVQxyL,6FMCcHZYfXYMqh1njEBJEyHuDzYjfCk1129BXmbsucjs,84216.37,0.01
5g5tmBwDgWYpjt4XunBf2n4gm3BesSmyvKkoF6FektDR,8em3qjr62H3B9DAdsQeLcKDwvVKo23UqNuxts8BxgFoW,83008.41,0.01
